consom,breakdown,currency,geo\time	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
4161901,DP_ES,EUR,AT	0.0962 	0.0978 	0.0968 	0.0976 	0.0787 	0.0787 	0.0758 	: 
4161901,DP_ES,EUR,BA	: 	0.0614 	0.0506 	: 	: 	: 	: 	: 
4161901,DP_ES,EUR,BE	0.1095 	0.1135 	0.1314 	0.1293 	0.1296 	0.1297 	0.1993 	0.1212 
4161901,DP_ES,EUR,BG	0.0580 	0.0439 	0.0488 	0.0418 	0.0486 	0.0445 	0.0419 	0.0361 
4161901,DP_ES,EUR,CY	0.1739 	0.1857 	0.2269 	0.1883 	0.1509 	: 	: 	: 
4161901,DP_ES,EUR,CZ	0.0814 	0.0960 	0.1031 	0.0946 	0.0957 	0.1130 	0.1044 	0.0847 
4161901,DP_ES,EUR,DE	0.1424 	0.1389 	0.1409 	0.1305 	0.1385 	0.1291 	0.1319 	0.1067 
4161901,DP_ES,EUR,DK	0.0499 	0.0520 	0.0565 	0.0712 	0.0636 	0.0501 	0.0834 	0.0439 
4161901,DP_ES,EUR,EE	0.0478 	0.0488 	0.0503 	0.0324 	0.0320 	0.0329 	0.0314 	0.0288 
4161901,DP_ES,EUR,EL	0.1112 	0.1020 	0.0817 	0.0804 	0.0505 	0.0548 	: 	: 
4161901,DP_ES,EUR,ES	0.2671 	0.2500 	0.1348 	0.1674 	0.1637 	0.1828 	0.1835 	: 
4161901,DP_ES,EUR,FI	0.0931 	0.0987 	0.0973 	0.0988 	0.0901 	0.0849 	0.0847 	0.0707 
4161901,DP_ES,EUR,FR	0.1216 	0.0942 	0.0864 	: 	: 	: 	: 	: 
4161901,DP_ES,EUR,HR	0.0933 	0.1123 	0.0991 	0.0838 	0.0740 	0.0753 	0.0947 	0.0875 
4161901,DP_ES,EUR,HU	0.0477 	0.0576 	0.0747 	: 	0.0762 	0.0844 	0.0756 	0.0508 
4161901,DP_ES,EUR,IE	0.2953 	0.3018 	0.2991 	0.2243 	: 	: 	: 	: 
4161901,DP_ES,EUR,IS	0.0333 	0.0305 	0.0307 	: 	: 	: 	: 	: 
4161901,DP_ES,EUR,IT	0.1314 	0.1305 	0.1247 	0.1061 	0.1221 	0.1320 	0.1252 	: 
4161901,DP_ES,EUR,LI	0.0728 	: 	: 	: 	: 	: 	: 	: 
4161901,DP_ES,EUR,LT	0.0503 	0.0481 	0.0491 	0.0487 	0.0462 	0.0372 	0.0380 	0.0311 
4161901,DP_ES,EUR,LU	0.0865 	0.0860 	0.1006 	0.1102 	0.0990 	0.1301 	0.0929 	0.0913 
4161901,DP_ES,EUR,LV	0.0133 	0.0130 	0.0230 	0.0401 	0.0491 	0.0494 	0.0492 	0.0359 
4161901,DP_ES,EUR,ME	0.0831 	0.0814 	0.0720 	0.0346 	: 	: 	: 	: 
4161901,DP_ES,EUR,MT	0.3284 	0.3846 	0.3946 	0.3892 	0.3738 	0.1940 	0.0987 	0.0000 
4161901,DP_ES,EUR,NL	0.1229 	0.1126 	0.1160 	0.1108 	0.1087 	0.1209 	0.1126 	0.1068 
4161901,DP_ES,EUR,NO	0.0815 	0.0893 	0.0799 	0.0879 	0.0940 	0.0759 	0.0867 	0.0598 
4161901,DP_ES,EUR,PL	0.0579 	0.0607 	0.0666 	0.0614 	0.0621 	0.0548 	0.0520 	0.0359 
4161901,DP_ES,EUR,PT	0.1016 	0.0827 	0.1138 	0.0764 	0.0795 	0.1511 	0.1238 	: 
4161901,DP_ES,EUR,RO	0.0422 	0.0399 	0.0284 	0.0347 	0.0337 	0.0310 	0.0367 	0.0355 
4161901,DP_ES,EUR,RS	0.0383 	0.0180 	: 	: 	: 	: 	: 	: 
4161901,DP_ES,EUR,SE	0.0540 	0.0637 	0.0687 	0.0746 	0.0751 	0.0613 	0.0725 	0.0538 
